;text;target
0;po zaproszyc obsluga do pokoj w cel sprzatac okazac sie ze pokoj jedynie poodkurzac;1
1;o przedluzec doba w niedziela o godzina trzeba wrecz blagac a na koniec i tak sie uslyszec ze dyrektor hotel wyrazic zgoda ale jedynie pod warunek zaplacic jak za normalny doba;1
2;jesli chodzic o sniadanie codziennie identyczny w on sklad wchodzic jeden plaster serac jeden obrzydliwego salceson maly porcjowac maselko marmoladac dwa kromka testowy pieczywac i pomarancz;1
3;stosunek jakosc do cena koszmarny;1
4;sniadania wloski na slodlo ale jogurty i jajka tezic sie znalazlyc pokoj czas;2
5;zdjecie powstac w rok blackstc group miec siedziba w nowy jork;0
6;bardzo wygodny lozko i materaca;2
7;skusilismy sie na on gdyz po podroza byc smy bardzo glodni;0
8;pokoj czysty i zadbac jedyny do co mozna sie przyczepic wyposazenie z poprzedni epoka natomiast jesli ktos przyjezdzac po to zeby zwiedzac a nie siedziec w pokoj to nie przeszkadzac;3
9;pokoj z czasow komuna;1
10;rozumiec ze zima ruch nie byc duzy ale;3
11;miec smy tez fajnie zorganizowac ognisko z lokalny kapela;2
12;bardzo chyba rozczarowac ja jesc;1
13;jeden slowo rozczarowac;1
14;administracyjny porazka;1
15;z kilka przyczyna;0
16;pobyt w hotel zaliczac do bardzo nieudany;1
17;brudno syf;1
18;z lazienka dochodzic zapach kanalizacja;1
19;troche slaby oferta spa jak na ten czas i na ten nazwa;1
20;malo ten sarkastyczny recepcjonistka powiedziec ze w caly mragow nie znalezc miejsce z pies;1
21;nowoczesny lazienka okazac sie pomieszczeni z wczesny rok jesli nie nie sugeruc sie zdjecie od on bo chetnie udostepnia swoj ktory na pewno nie byc nawet zblizony do ten opublikowac przez hotel;1
22;  syf schody jak za komuna po dzien jak wchodzic em na stolowka to myslec em z puszczy pawiac bo tak smierdzialo hotel wygladac jak robotnicz;1
23;doplacic smy do pokoj de lux co po bulgarska znaczyc nie smierdzic tak bardzo jakos przezyje ten kilka dzien z drzazga w tylek i polecic ten hotel sasiad ktory nie lubic;1
24;pod wzgled kulinarny hotel leza;1
25;niebawem byc zapraszac nasz gosc na cos zupelnie nowy co nie miec takze gdzie indziej;0
26;przyjechalismyc w listopad na dniz all inclusive;0
27;duze czysty toaleta to bardzo wazny jesli miec sie na siebie suknia slubny;2
28;pokoj na poddaszo to ze smierdzic na zewnatrz to nie wina hotel ale okno trzeba otwierac bo klimatyzacja brak;1
29;jedyny co znac to piwo i sangria z dzbanek;1
30;jedyny zastrzezenie co do posilek;1
31;w sierpien do dyspozycja gosc byc dwa duzy kon i jeden kucyk;0
32;w minuta piechota mozna dojsc do miasteczko eretrio z fajny knajpk w niektory pracowac polak;2
33;w hotel goscic smy krotnie i za kazdy raz obiecac smy siebie ze jeszcze raz wrocic;2
34;niestety w przypadek rybaczowka musiec napisac lipa w piekny otoczka;3
