;text;target
0;po zaproszeniu obslugi do pokoju w celu sprzatania okazalo sie ze pokoj jedynie poodkurzano ;1
1;o przedluzenie doby w niedziele o godziny trzeba wrecz blagac a na koniec i tak sie uslyszy ze dyrektor hotelu wyrazil zgode ale jedynie pod warunkiem zaplacenia jak za normalna dobe ;1
2;jesli chodzi o sniadania codziennie identyczne w jego sklad wchodzi jeden plaster sera jeden obrzydliwego salcesonu male porcjowane maselko marmolada dwie kromki testowego pieczywa i pomarancz ;1
3;stosunek jakosci do ceny koszmarny ;1
4;sniadania wloskie na slodlo ale jogurty i jajka tez sie znalazly pokoje czasie ;2
5;zdjecie powstala w roku blackstone group ma siedzibe w nowy jorku ;0
6;bardzo wygodne lozka i materace ;2
7;skusilismy sie na nia gdyz po podrozy byli smy bardzo glodni ;0
8;pokoj czysty i zadbany jedyne do czego mozna sie przyczepic wyposazenie z poprzedniej epoki natomiast jesli ktos przyjezdza po to zeby zwiedzac a nie siedziec w pokoju to nie przeszkadza ;3
9;pokoj z czasow komuny ;1
10;rozumiem ze zima ruch nie jest duzy ale ;3
11;mieli smy tez fajnie zorganizowane ognisko z lokalna kapela ;2
12;najbardziej chyba rozczarowalo mnie jedzenie ;1
13;jednym slowem rozczarowanie ;1
14;administracyjna porazka ;1
15;z kilku przyczyn ;0
16;pobyt w hotelu zaliczam do bardzo nieudanego ;1
17;brudno syf ;1
18;z lazienki dochodzi zapach kanalizacji ;1
19;troche slaba oferta spa jak na te czasy i na te nazwe ;1
20;malo tego sarkastyczna recepcjonistka powiedziala ze w calym mragowie nie znajdziemy miejsca z psem ;1
21;nowoczesne lazienki okazaly sie pomieszczeniami z wczesnych lat jesli nie nie sugerujcie sie zdjeciami od nich bo chetnie udostepnie swoje ktore na pewno nie sa nawet zblizone do tych opublikowanych przez hotel ;1
22; syf schody jak za komuny po dniach jak wchodzil em na stolowke to myslal em ze puszcze pawia bo tak smierdzialo hotel wyglada jak robotniczy ;1
23;doplacili smy do pokoju de lux co po bulgarski znaczy nie smierdzi tak bardzo jakos przezyje te kilka dni z drzazga w tylku i polece ten hotel sasiadowi ktorego nie lubie ;1
24;pod wzgledem kulinarnym hotel lezy ;1
25;niebawem bedziemy zapraszac naszych gosci na cos zupelnie nowego czego nie ma takze gdzie indziej ;0
26;przyjechalismy w listopadzie na dniz all inclusive ;0
27;duze czyste toalety to bardzo wazne jesli ma sie na sobie suknie slubna ;2
28;pokoj na poddaszu to ze smierdzi na zewnatrz to nie wina hotelu ale okno trzeba otwierac bo klimatyzacji brak ;1
29;jedyne co znane to piwo i sangria z dzbanka;1
30;jedyne zastrzezenie co do posilkow ;1
31;w sierpniu do dyspozycji gosci byly dwa duze konie i jeden kucyk ;0
32;w minut piechota mozna dojsc do miasteczka eretria z fajnymi knajpkami w niektorych pracuja polacy ;2
33;w hotelu goscili smy krotnie i za kazdym razem obiecali smy sobie ze jeszcze raz wrocimy ;2
34;niestety w przypadku rybaczowki musze napisac lipa w pieknej otoczce ;3
35;plusy dobre polozenie blisko do centrum oraz plazy miejskiej czysty pokoj i lazienka pokoj rodzinny wygodne rozlokowanie dzieci smaczne sniadania z wystarczajacym wyborem wedliny ryby sery bardzo swieze urozmaicone warzywa owoce i kielki tradycyjne cieple dania pyszne gofry i dodatki smaczne ciasta dobry wybor pieczywa duzo sokow pyszna kawa i herbata bardzo mila obsluga pokoi oraz pani malgorzata z restauracjiminusy wyposazenie pokoi pamieta chyba jeszcze czasy prl niesprawne szafy jedna bez drzwi stare plytki i armatura pokoj na nizszej kondygnacji mial atrakcje w postaci remontu na dachu przed oknem malo pomocne i sympatyczne panie z recepcji basen maly i chyba przed remontem brak klimatyzacji zaslona nie dziala i nie dalo sie zaslonic okna;3
36;wystarczy przejsc plac przed kosciolem zejsc po schodach i skrecic w prawo ;0
37;pojawia sie coraz wiecej mozliwosci reklamy ;0
38;wi fi dobrej jakosci ;2
39;na zakonczenie pierwszego polrocza spolka odnotowala strate tys euro wobec tys euro zysku rok wczesniej ;0
40;restauracja hotelowa byla rozczarowujaca pani kelnerka bez znajomosci zasad obslugi podala nam cieple wino ktore samemu trzeba bylo rozlewac jak i ani w zab angielskiego co bylo mi akurat potrzebne poniewaz niefortunnie zaprosila m tam swoich znajomych wizytujacych krakow i na obiad najadla m sie przede wszystkim wstydu bo jedzenie srednie a oscypek z zurawina zostal brutalnie zamordowany usmazeniem w glebokim tluszczu ;1
41;ale mozna sie przejsc troche dalej i znalezc duzo wiecej restauracji ;2
42;sama lokalizacja na plus obsluga bez szalu ale tez ok ;3
43;hotel bardziej proponuje jako miejsce do organizacji szkolen czy konferencji ;3
44;z zewnatrz osrodek bardzo ladny ale jak sie okazalo w okolicy takich pelno giewont kasprowy nawet z lepszym widokiem na gory ;3
45;animacje calkiem udane zero ciaglego namawiania a i tak wszyscy sie bawili ;2
