;text;target
0;sredni wydatek na pacjent wzrosnac z tysiac zloty w rok do kwota ponad tysiac zloty w rok;0
1;corka podczas badanie nie czuc sie niekomfortowo o dziwo;2
2;nie byc lekarz ale myslec em do ten pora ze ten typ diagnoza powinien byc poprzedzic badani bardzo szczegolowy;1
3;oby wiecej taki fizjoterapeut;2
4;dziekowac pani aleksandro za cieplo cierpliwosc i madrosc;2
5;moj problem byc alergiczny niezyt nos przy ktory zaden antybiotykoterapia nie byc potrzebny;0
6;bez moj zgoda stomatolog zaleczyc zeba jednak nie to co chciec em;1
7;z przykrosc musiec ocenic pdr jako osoba ktory powinien poswiecic bardzo duzo czas na uzupelnic swoj wiedza;1
8;usmiercic moj mama podawac on morfine juz na rok przed smierc gdyby nie lekarz w czmp umrzec by wczesnie;1
9;Piotr;0
10;zdecydowanie nie byc on lekarz ktory by metr polecic;1
11;  ja sam byc biolog molekularny i wykorzystowac gmo w badanie nad rak;0
12;bardzo koncentrowac sie na rodzicu pacjent niz na dolegliwoscie sam pacjent;1
13;poza to pan doktor miec zdolnosc wyprowadzac pacjent z lek;2
14;naukowiec z instytut nenckiy w wspolpraca z grupa profesor marek switonskiy z uniwersytet przyrodniczy w Poznan oraz z profesor marion cremer z monachium obserwowac dwa gen oznaczyc on polozenie w lancucha dna za pomoc substancja swiecacej po wzbudzec swiatc byc laser;0
15;dziwny byc wypowiedz grazyna nppisze w osoba meski p daleko nie polecac ostrzegac przed wizyta u ten pani;1
16;liczyc rowniez na zainteresowanie ministerstwo edukacja narodowy i ministerstwo zdrowie podkreslic profesor jarosz;0
17;praca nad projektowac nowy lek zyskac wsparcie obliczeniowy osrodek obliczeniowy centrum informatyczny swierk;0
18;prawidlowo zalozyc wypelnienie powinien zostac na kilka dobry rok;0
19;naukowiec z us badac chlamydia od dawny;0
20;wiec pani doktor powiedziec ze moc m sie zarazic od on dajac do zrozumienie ze moze on miec wiecej partnerek;1
21;doktor przy pomoc kartka dlugopis i flamastra probowac wyjasnic dlaczego nie dochodzic do rozwoj zarodek;3
22;trzy raz dzwonic m w ten sprawa do gabinet pani na recepcja przekazywac pani doktor moj prosba o kontakt w ten sprawa cisza;1
23;nie ukrywac ze wlasnie dzieki ten strona;0
24;zabrac m z siebie wynik na ktory lekarka tylko rzucic oko;1
25;naukowiec liczyc ze w przyszlosc mozliwosc ten byc jeszcze szeroki;0
26;jak do ten pora nie miec metr zastrzyek w kolano i miec nadzieja ze nigdy nie byc miec;1
27;mutacja ten pobudzac szpik kostny do wytwarzac nadmierny liczba niedojrzalych bialy krwinka granulocyt komorka odpornosciowych ktory byc bardzo zywotny i wypierac ten ktory byc prawidlowy;0
28;pan doktor bardzo rzeczowy i kompetentny;2
29;to chyba wazny zeby traktowac pacjent po ludzki;1
30;do neurolog kierowac ja specjalista poniewaz miec kilka objaw ktory wymagac by sprawdzic pod ten kat;0
31;przyjazny atmosfera co byc dla ja bardzo wazny bo bardzo sie bac metr wizyta u psychiatra;2
32;miec m wielki nadzieja isc na wizyta do ten lekarz;0
33;edyta janaszkiewicz z lodz;0
34;polecac jako dobry lekarz;2
35;miec metr watpliwy przyjemnosc korzystac z usluga pani doktor dwa raz prywatnie w sierpien pajent byc moj miesieczny syn;1
36;widziec ktos taki poradnia cukrzycowy;2
37;swoj osad medyczny skupiac sie na wynik badanie;2
38;w nasz kraj na rodzaj taki nowotwor chorowac tys osoba czyli procent wszystek chory onkologiczc;0
39;obecnie czekac na kolejny wizyta;0
40;byc smy u on na usg w prywatny przychodnia gdzie za minuta wizyta na ktory musielism czekac mina pomino z bylismy umowiic na godzina zaplacic smy zloty;1
41;byc m u pan doktor na prywatny wizyta w salve razem z doppler zaplacic metr zloty;0
42;byc em przerazyc i pewny ze to nie skutek uboczny lecz ze moj zapalenie pecherzyk zolciowy przybrac charakter ostry zapalenie;1
43;brak czas dla pacjent slaby podejscie do dziecko za duzo nie tlumaczyc co byc dziecko miec m wrazenie ze placic zloty za recepta bo od dwa rok brac ten sam lek;1
44;aga;0
45;przekonac metr sie jednak po raz kolejny zeby z rozsadek podchodzic rowniez do taki sposob leczyc;1
46;przeciez na to polegac badanie i ii i III trymestr zeby dokladnie zbadac anatomie dziecko;0
47;sytuacja radykalnie sie odmienic gdy w rok trafic m do pani doktor karolina pelka;2
48;  najpierw musiec wprowadzic do kapilara czasteczka lek i ustalic szybkosc on dyfuzja;0
49;pani doktor odpowiadac bez pospiech na wszystek pytanie i watpliwosc;2
50;nastepnie zidentyfikowac owe terapeutyka i szczegolowo opisza na podstawa medyczny zrodlo historyczny receptariusz i kompendium;0
51;kazalac przyjsc za dwa tydzien;0
52;dopiero wtedy kiedy ja mowic ze corka urodzic sie z taki wady oko nie dowierzac;2
53;do dzis byc nasz lekarz kontrolny bo problem nie miec zaden i chyba nie potrafic by metr zamienic na inny;2
54;w ubiegly tydzien byc metr z syn w klinika orthosmile;0
55;inny kwestia byc poziom wiedza pani doktor;0
56;badanie byc nie stresuc polecac;2
57;poszlamyc z dziecko ktore wygladalo jak poparzc kwas tak silny alergia;0
58;  byc zle ale byc zle;0
59;gdzie indziej w wroclawie mozny ja stosowac naprawde tanio;1
60;jesli tak wygladac profesjonalizm w obreb prywatny wizyta w wykonac doktor zwinczewskie to ja podziekowac i nie byc duzo narazac sie na tyle stres;1
61;byc m leczyc na tak zwany czuja moze pomoc to a jak nie to to sprobowac tamto;1
62;dlatego miedzy inny odwiedzac ten gabinet tak licznie;2
63;zwrocic em sie o pomoc o doktor poniewaz slyszac m o on sam pozytywny rzecz;2
64;okolo zgodzilismy sie ale skasowal jak za zboze ponad tysiacea zloty a kartoteka ja nie zalozyl wiec nie miec slad po inseminacja tak jak nie miec slad ciaz;1
65;efekt uklucie moc byc tez zapalenie naczynie limfatyczny a u osoba wrazliwy reakcja alergiczny;0
66;po kilka rok szukac kompetentny osoba ktory zajac by sie moj tarczycaa wreszcie udac ja sie trafic na doktor i nie zamienia juz na nikt inny;2
67;wizyta szybki ale w zyczliwy atmosfera;3
68;pani doktor dobry postawic wstepna diagnoza zalecic badanie aczkolwiek czas spedzic w kolejka to masakra wizyt prywatny a czas opoznienie h o ktory nikt wczesnie nie informowac;3
69;na szczescie wszystko skonczyc sie szczesliwie;0
70;lekarz alergolog ciagle tylko lek wziewny zyrtec i zero poprawa;0
71;z uwaga jednak na ograniczenie wynikac z zapis unijnego projekt z ktory sfinansowac ten projekt byc to mozliwy tylko w niewielki stopien;0
72;a co do pani anna k jesli czerpac pani swoj wiedza z czasopismo dla kobieta to nic dziwny ze wypisywac pani pozno taki glupota na tak powazny portal informacyjny;0
73;niestety jakis tyg temu z uwaga na brak kontakt telefon wyslac m meile do pani doktor z prosba o pilny wizyta gdyz stan dziecko sie pogorszyc i na dodatek miec zly wynik badanie;0
74;polecac doktor hamela szczegolnie dla pacjentka z problematyczny ciaz;2
75;akcja rozpowszechniac material edukacyjny prowadzic byc w caly Polska w rozny forma;0
76;tatuaz moc byc tez niebezpieczny dla zdrowie czlowiek z wzglad na uszkodzc skora i mozliwosc pojawiec sie zakazenie;0
