;text;target
0;srednie wydatki na pacjenta wzrosly z tys zl w r do kwoty ponad tys zl w r ;0
1;corka podczas badania nie czula sie niekomfortowo o dziwo ;2
2;nie jestem lekarzem ale myslal em do tej pory ze tego typu diagnoza powinna byc poprzedzona badaniami bardziej szczegolowymi ;1
3;oby wiecej takich fizjoterapeutow ;2
4;dziekuje pani aleksandro za cieplo cierpliwosc i madrosc ;2
5;moim problemem byl alergiczny niezyt nosa przy ktorym zadna antybiotykoterapia nie byla potrzebna ;0
6;bez mojej zgody stomatolog zaleczyl zeba jednak nie tego co chcial em ;1
7;z przykroscia musze ocenic pdr jako osobe ktora powinna poswiecic bardzo duzo czasu na uzupelnienie swojej wiedzy ;1
8;usmiercila moja mame podajac jej morfine juz na rok przed smiercia gdyby nie lekarze w czmp umarla by wczesniej ;1
9;piotr;0
10;zdecydowanie nie jest on lekarzem ktorego by m polecila ;1
11; ja sama jestem biologiem molekularnym i wykorzystuje gmo w badaniach nad rakiem ;0
12;bardziej koncentrowala sie na rodzicu pacjenta niz na dolegliwosciach samego pacjenta ;1
13;poza tym pan doktor ma zdolnosc wyprowadzania pacjenta z leku ;2
14;naukowcy z instytutu nenckiego we wspolpracy z grupa prof marka switonskiego z uniwersytetu przyrodniczego w poznaniu oraz z prof marion cremer z monachium obserwowali dwa geny oznaczyli ich polozenie w lancuchach dna za pomoca substancji swiecacej po wzbudzeniu swiatlem lasera ;0
15;dziwne sa wypowiedzi grazyny nppisze w osobie meskiej p dalej nie polecam ostrzegam przed wizyta u tej pani ;1
16;licze rowniez na zainteresowanie ministerstwa edukacji narodowej i ministerstwa zdrowia podkreslil prof jarosz ;0
17;prace nad projektowaniem nowych lekow zyskaja wsparcie obliczeniowe osrodka obliczeniowego centrum informatycznego swierk ;0
18;prawidlowo zalozone wypelnienie powinno zostac na kilka dobrych lat ;0
19;naukowcy z us badaja chlamydie od dawna ;0
20;wiec pani doktor powiedziala ze mogla m sie zarazic od niego dajac do zrozumienia ze moze on ma wiecej partnerek ;1
21;doktor przy pomocy kartki dlugopisu i flamastra probowal wyjasnic dlaczego nie dochodzi do rozwoju zarodka ;3
22;trzy razy dzwonila m w tej sprawie do gabinetu panie na recepcji przekazywaly pani dr moje prosby o kontakt w tej sprawie cisza ;1
23;nie ukrywam ze wlasnie dzieki tej stronie ;0
24;zabrala m ze soba wyniki na ktore lekarka tylko rzucila okiem ;1
25;naukowcy licza ze w przyszlosci mozliwosci te beda jeszcze szersze ;0
26;jak do tej pory nie miala m zastrzykow w kolana i mam nadzieje ze nigdy nie bede miec ;1
27;mutacja ta pobudza szpik kostny do wytwarzania nadmiernej liczby niedojrzalych bialych krwinek granulocytow komorek odpornosciowych ktore sa bardziej zywotne i wypieraja te ktore sa prawidlowe ;0
28;pan doktor bardzo rzeczowy i kompetentny ;2
29;to chyba wazne zeby traktowac pacjenta po ludzku ;1
30;do neurologa kierowalo mnie specjalistow poniewaz mam kilka objawow ktore wymagaly by sprawdzenia pod tym katem ;0
31;przyjazna atmosfera co bylo dla mnie bardzo wazne bo bardzo sie bala m wizyty u psychiatry ;2
32;miala m wielkie nadzieje idac na wizyte do tego lekarza ;0
33;edyta janaszkiewicz z lodzi ;0
34;polecam jako dobrego lekarza ;2
35;miala m watpliwa przyjemnosc korzystac z uslug pani doktor dwa razy prywatnie w sierpniu pajentem byl moj miesieczny syn ;1
36;widzial ktos taka poradnie cukrzycowa ;2
37;swoj osad medyczny skupia sie na wynikach badan ;2
38;w naszym kraju na rodzajow takich nowotworow choruje tys osob czyli proc wszystkich chorych onkologicznie ;0
39;obecnie czekam na kolejna wizyte ;0
40;byli smy u niego na usg w prywatnej przychodni gdzie za min wizyte na ktora musielismy czekac min pomino ze bylismy umowieni na godzine zaplacili smy zl ;1
41;byla m u pana doktora na prywatnej wizycie w salve razem z dopplerem zaplacila m zl ;0
42;byl em przerazony i pewny ze to nie skutki uboczne lecz ze moje zapalenie pecherzyka zolciowego przybralo charakter ostrego zapalenia ;1
43;brak czasu dla pacjenta slabe podejscie do dzieci za duzo nie tlumaczy co jest dziecku miala m wrazenie ze place zl za recepte bo od dwoch lat bierze te same leki ;1
44;aga;0
45;przekonala m sie jednak po raz kolejny zeby z rozsadkiem podchodzic rowniez do takich sposobow leczenia ;1
46;przeciez na tym polegaja badania i ii i iii trymestru zeby dokladnie zbadac anatomie dziecka ;0
47;sytuacja radykalnie sie odmienila gdy w roku trafila m do pani dr karoliny pelki ;2
48; najpierw musimy wprowadzic do kapilary czasteczki leku i ustalic szybkosc ich dyfuzji ;0
49;pani doktor odpowiadala bez pospiechu na wszystkie pytania i watpliwosci ;2
50;nastepnie zidentyfikuja owe terapeutyki i szczegolowo opisza na podstawie medycznych zrodel historycznych receptariuszy i kompendiow ;0
51;kazala przyjsc za dwa tygodnie ;0
52;dopiero wtedy kiedy ja mowie ze corka urodzila sie z taka wada oczom nie dowierzaja ;2
53;do dzis jest naszym lekarzem kontrolnym bo problemow nie mamy zadnych i chyba nie potrafila by m zamienic na innego ;2
54;w ubieglym tygodniu byla m z synem w klinice orthosmile ;0
55;inna kwestia jest poziom wiedzy pani doktor ;0
56;badanie jest nie stresujace polecam ;2
57;poszlam z dzieckiem ktore wygladalo jak poparzone kwasem tak silna alergia ;0
58; jest zle ale bylo gorzej ;0
59;gdzie indziej we wroclawiu mozna ja stosowac naprawde taniej ;1
60;jesli tak wyglada profesjonalizm w obrebie prywatnej wizyty w wykonaniu dr zwinczewskiej to ja podziekuje i nie bede wiecej narazac sie na tyle stresu ;1
61;byla m leczona na tzw czuja moze pomoze to a jak nie to to sprobujemy tamto ;1
62;dlatego miedzy innymi odwiedzaja ten gabinet tak licznie ;2
63;zwrocil em sie o pomoc o doktora poniewaz slyszala m o nim same pozytywne rzeczy ;2
