;text;target
0;super lekarz i czlowiek przez duzy c bardzo duzy doswiadczenie i trafny diagnoza wielki cierpliwosc do czlowiek stary od rok opiekowac sie moj mama staruszka i twierdzic ze miec duzy szczescie ze miec taki lekarz naprawde nie wiedziec coby byc zrobic gdyby nie pan doktor dzieki to moj mama zyc kazdy wizyta u specjalista byc u on konsultowac i uwazac ze byc dobry od kazdy z on miec do on prawie nieograniczony zaufanie mozna wiele dobry o pan doktor jeszcze napisac niestety miec bardzo duzo pacjent byc przepracowac z ten powod nawet obawiac sie o on zdrowie i dostep do on byc trudny ale zawsze mozliwy;2
1;bardzo olewczy podejscie do pacjent przyprowadzajac dziecko z ostro wysypka na calym cialo trwajacac od tydzien pani doktor stwierdzilac z nie widziec wskazan wystawiic dziecko skierowac na test skorny chocby na nasz prosbe i dodac iz w prywatny klinika gdzie tak czy siak musielibysmy za to zaplacic odmowilac rowniez wystawiic zaswiadczec o to z dziecko byc zdrowy i moze uczeszczac do przedszkole twierdzac z taki zaswiadczen sie nie wystawiac litr oczywist rozniez nie wchodzilo w gre jeden slowo z gabinet wyszlismy bez nic mimo iz kierowac bylismy przez dwoch inny pediatrow na natychmiastowy test do alergolog;1
2;lekarz zalecic ja kuracja alternatywny do dotychczasowy wiec jeszcze nie dawac wysoki ocena zobaczyc na ile okazac sie skuteczny do pan doktor nie miec zastrzezenie bardzo profesjonalny i kulturalny jedyny minus dotyczyc gabinet ktory nie byc nowoczesny co moc zniechecac pacjentka;3
3;  konsument oczywiscie kierowac sie cena ten lek byc tansze ale dzisiaj nie moc juz powiedziec ze znacznie tansze byc to malo krepuc nie trzeba wychodzic z dom nie trzeba udawac sie do lekarz czy prosic o recepta w taki przypadek kupowac nie kierowac sie zdrowy rozsadek ale cena naiwnie szukac lek z niesprawdzony zrodlo podrobiic lek moc byc skazic zanieczyszczc lub zawierac substancja toksyczny czy w ogol nieodpowiedni sklad czesto miec tez skladnik nieaktywny w zaden sposob nie wplywac na poprawa badz powodujyc pogorszyc stan zdrowie wyjasnic ekspertka dodac takze ze podrobka moc miec rowniez skladnik aktywny w nieodpowiednich dawka zbyt silny czy zmieszac w sposob nieodpowiedni a badanie pokazywac ze w podrobiony lekach znajdowac sie trucizny dla szczur wosk do podloga cement gips i podobny substancja;0
4;pani doktor iwony byc profesjonalistka w kazdy cal isc do stomatologa zawsze czuc przerazliwy strach pani doktor iwony byc wyrozumiac i delikatny bardzo mily cierpliwie wyjasniac kazdy zaistniac problem a co bardzo ja sie podobac to fakt ze w swoj dzialanie byc bardzo stanowczy i konkretny dla ja to jasny znak ze specjalista ktory sie ja zajmowac doskonale wiedziec co i jak robic pozwalac ja to poczuc sie bezpiecznie wiedziec ze byc w dobry reka a do to usmiech i cieplo po strach ani slad pani iwc dziekowac d;2
5;byc nie prawda co napisal ten internauta ten lekarz byc bardzo dobry przesympatyczny milym i kulturalny czlowiek nie byc tez prawda z oglad kobiece piers wcale to nie robic aczkolwiek w wiele przypadek powinien to robic moze uratowal by jakas kobiete od smiercie lecz sie u pan doktor juz rok i nie moge powiedziec na on zadn zly slowy wrecz przeciwnie zarowno on sam jak i personel ten przychodnia to wspaniac czlowiek goraco polecac;2
6;Krzysztof byc znakomity fizjoterapeuta przyjsc m do on z wypadajacym krzywy kolan po operacja wiezasc oraz z bolacy lekotka w drugi kolan Krzysztof po wywiad ogolny oraz badac stwierdzic szybko co moc na to pomoc i jak to przeciwdzialac on wiedza intensywny zestaw cwiczenie zaangazowanie i chec robic cud otworzyc ja oko ze to to i to nie dzialac i nie funkcjonowac normalnie dlatego tak i tak sie dziac teraz moj praca oraz trening stac sie w koniec czysty przyjemnosc a nie walka z sam siebie polecac na zakonczenie dodac ze po kilka wizyta przyprowadzic m swoj mama ktory przez mc borykac sie ostry bol bark odwiedzac przez ten okres przerozny specjalista doktor placic przy to majatek w dodatek nikt przez ten czas nie pomoc on ani troche i codziennie z bol lykac po tabletka przeciw bolowy po wizyta u krzyska okazac sie ze miec zerwac sciegn a po on pierwszy godzinny bardzo bolesny wizyta i masaz przetrwac do nastepny wizyta tylko z siniak ale juz bez tabletka przeciwbolowy Krzysiek byc naprawde godny polecenie specjalisty tym bardzo jesli chcecie sie leczyc naturalnie bez zbedny proszek i wesoly atmosfera;2
7;pani doktor bardzo delikatny wygladac na bardzo mlody przeprowadzac dokladny wywiad z pacjent przeprowadzic badanie skora glowa i wlos pod urzadzenie z mikroskop i zlecic badanie hormonalny trudno oceniac po pierwszy wizyta na raz nie dostac metr zaden wskazowka co do daleki dieta pielegnacja zostac tylko zlecyc badanie wypowie sie szerzej po kolejny wizyta;3
8;byc bardzo dobry lekarz milu cieply troszczyc sie o swoj pacjetka tylko ze ja choga do on w gdansk i nie wiedziec czy to byc ten sam lekarz ocena zostac zmienic na polecac powod zbyt lakoniczny argumentacja do wystawiic wysoki ocena;2
9;lekarz ten przyjac ja nie uprzedzawac ze nie wypisowac ani recepta ani skierowanie w moj odczucie wykazac brak zainteresowanie ja jako pacjentka miec m zapalenie zyc wysoki temperatura prosic m o pomoc zasugerowac test usg nawet nie potrafic podac adres gdzie miec sie udac a po skierowac wyslac ja do moj lekarz domowy wiec po co ja przyjsc m do specjalista nie udzielic ja zaden pomoc ale zazadac zloty na moj zdziwienie za co tak duzo pieniadz powiedziec ze tak sie skladac ze zadbac o swoj wyksztalcenie dobrze ale co z to wynikac dla ja odmowic metr zaplata tak duzy suma w sytuacja brak pomoc zaplacic m zloty powiedziec ze to nie targ i ze cos taki on sie nie zdarzyc na co odpowiedziec m ze ja tez nie dowiedziec metr sie jak siebie poradzic co robic nie wiedziec za co pan doktor kazac ja placic zaden skierowac recept z on wypowiedz zrozumiec m ze nie miec jakis umowa z nfz ale czemu zatem przyjmowac pacjent nie miec narzedzie by on pomoc mowic ze na konsultacja a ja chciec m pomoc a nie konsultacja z ktory nic nie wynikac powiedziec m on to ale to nic nie zmienic byc to moj pierwszy wizyta u ten lekarz na pozegnanie powiedziec ja ze moj leczenie u on sie skonczyc odpowiedziec m ze przeciez nawet sie nie zaczac;1
