;text;target
0;super lekarz i czlowiek przez duze c bardzo duze doswiadczenie i trafne diagnozy wielka cierpliwosc do ludzi starszych od lat opiekuje sie moja mama staruszka i twierdze ze mamy duze szczescie ze mamy takiego lekarza naprawde nie wiem cobysmy zrobili gdyby nie pan doktor dzieki temu moja mama zyje kazda wizyta u specjalisty jest u niego konsultowana i uwazam ze jest lepszy od kazdego z nich mamy do niego prawie nieograniczone zaufanie mozna wiele dobrego o panu doktorze jeszcze napisac niestety ma bardzo duzo pacjentow jest przepracowany z tego powodu nawet obawiam sie o jego zdrowie i dostep do niego jest trudny ale zawsze mozliwy ;2
1;bardzo olewcze podejscie do pacjenta przyprowadzajac dziecko z ostra wysypka na calym ciele trwajaca od tygodni pani doktor stwierdzila ze nie widzi wskazan wystawienia dziecku skierowania na testy skorne chocby na nasza prosbe i dodam iz w prywatnej klinice gdzie tak czy siak musielibysmy za to zaplacic odmowila rowniez wystawienia zaswiadczenia o tym ze dziecko jest zdrowe i moze uczeszczac do przedszkola twierdzac ze takich zaswiadczen sie nie wystawia l oczywiscie rozniez nie wchodzilo w gre jednym slowem z gabinetu wyszlismy bez niczego mimo iz kierowani bylismy przez dwoch innych pediatrow na natychmiastowe testy do alergologa ;1
2;lekarz zalecil mi kuracje alternatywna do dotychczasowej wiec jeszcze nie daje najwyzszej oceny zobaczymy na ile okaze sie skuteczna do pana doktora nie mam zastrzezen bardzo profesjonalny i kulturalny jedyny minus dotyczy gabinetu ktory nie jest nowoczesny co moze zniechecac pacjentki ;3
3; konsumenci oczywiscie kieruja sie cena te leki sa tansze ale dzisiaj nie mozemy juz powiedziec ze znacznie tansze jest to mniej krepujace nie trzeba wychodzic z domu nie trzeba udawac sie do lekarza czy prosic o recepte w takich przypadkach kupujacy nie kieruje sie zdrowym rozsadkiem ale cena naiwnie szukajac lekow z niesprawdzonych zrodel podrobione leki moga byc skazone zanieczyszczone lub zawierac substancje toksyczne czy w ogole nieodpowiedni sklad czesto maja tez skladniki nieaktywne w zaden sposob nie wplywajace na poprawe badz powodujace pogorszenie stanu zdrowia wyjasnila ekspertka dodala takze ze podrobki moga miec rowniez skladniki aktywne w nieodpowiednich dawkach zbyt silne czy zmieszane w sposob nieodpowiedni a badania pokazuja ze w podrobionych lekach znajduja sie trucizny dla szczurow wosk do podlogi cement gips i podobne substancje ;0
4;pani doktor iwona jest profesjonalistka w kazdym calu idac do stomatologa zawsze czuje przerazliwy strach pani doktor iwona jest wyrozumiala i delikatna bardzo mila cierpliwie wyjasnia kazdy zaistnialy problem a co najbardziej mi sie podoba to fakt ze w swoim dzialaniu jest bardzo stanowcza i konkretna dla mnie to jasny znak ze specjalista ktory sie mna zajmuje doskonale wie co i jak robi pozwala mi to poczuc sie bezpiecznie wiem ze jestem w dobrych rekach a do tego usmiech i cieplo po strachu ani sladu pani iwono dziekuje d;2
5;jest nie prawda co napisal ten internauta ten lekarz jest bardzo dobrym przesympatycznym milym i kulturalnym czlowiekiem nie jest tez prawda ze oglada kobiece piersi wcale tego nie robi aczkolwiek w wielu przypadkach powinien to robic moze uratowal by jakas kobiete od smierci lecze sie u pana doktora juz lat i nie moge powiedziec na niego zadnego zlego slowa wrecz przeciwnie zarowno on sam jak i personel tej przychodni to wspaniali ludzie goraco polecam ;2
6;krzysztof jest znakomitym fizjoterapeuta przyszla m do niego z wypadajacym krzywym kolanem po operacji wiezadla oraz z bolaca lekotka w drugim kolanie krzysztof po wywiadzie ogolnym oraz badaniu stwierdzil szybko co moze na to pomoc i jak temu przeciwdzialac jego wiedza intensywne zestawy cwiczen zaangazowanie i checi robia cuda otworzyl mi oczy ze to to i to nie dziala i nie funkcjonuje normalnie dlatego tak i tak sie dzieje teraz moja praca oraz treningi staly sie w koncu czysta przyjemnoscia a nie walka z sama soba polecam na zakonczenie dodam ze po kilku wizytach przyprowadzila m swoja mama ktora przez mc borykala sie ostrym bolem barkow odwiedzajac przez ten okres przeroznych specjalistow doktorow placac przy tym majatek w dodatku nikt przez ten czas nie pomogl jej ani troche i codziennie z bolu lykala po tabletki przeciw bolowe po wizycie u krzyska okazalo sie ze ma zerwane sciegna a po jego pierwszej godzinnej bardzo bolesnej wizycie i masazach przetrwala do nastepnej wizyty tylko z siniakami ale juz bez tabletek przeciwbolowych krzysiek jest naprawde godnym polecenia specjalista tym bardziej jesli chcecie sie leczyc naturalnie bez zbednych proszkow i wesolej atmosferze ;2
7;pani doktor bardzo delikatna wyglada na bardzo mloda przeprowadza dokladny wywiad z pacjentem przeprowadzila badanie skory glowy i wlosow pod urzadzeniem z mikroskopem i zlecila badania hormonalne trudno oceniac po pierwszej wizycie na razie nie dostala m zadnych wskazowek co do dalszej diety pielegnacji zostaly tylko zlecone badania wypowiem sie szerzej po kolejnej wizycie ;3
8;jest bardzo dobrym lekarzem milu cieply troszczy sie o swoje pacjetki tylko ze ja chodze do niego w gdansku i nie wiem czy to jest ten sam lekarz ocena zostala zmieniona na polecam powod zbyt lakoniczna argumentacja do wystawienia najwyzszej oceny ;2
9;lekarz ten przyjal mnie nie uprzedzajac ze nie wypisuje ani recept ani skierowan w moim odczuciu wykazal brak zainteresowania mna jako pacjentka miala m zapalenie zyly wysoka temperature prosila m o pomoc zasugerowal test usg nawet nie potrafil podac adresu gdzie mam sie udac a po skierowanie wyslal mnie do mojego lekarza domowego wiec po co ja przyszla m do specjalisty nie udzielil mi zadnej pomocy ale zazadal zl na moje zdziwienie za co tak duzo pieniedzy powiedzial ze tak sie sklada ze zadbal o swoje wyksztalcenie dobrze ale co z tego wynika dla mnie odmowila m zaplaty tak duzej sumy w sytuacji braku pomocy zaplacila m zl powiedzial ze to nie targ i ze cos takiego mu sie nie zdarzylo na co odpowiedziala m ze mnie tez nie dowiedziala m sie jak sobie poradzic co robic nie wiem za co pan doktor kazal mi placic zadnego skierowania recepty z jego wypowiedzi zrozumiala m ze nie mial jakiejs umowy z nfz ale czemu zatem przyjmuje pacjentow nie majac narzedzi by im pomoc mowil ze na konsultacje a ja chciala m pomocy a nie konsultacji z ktorej nic nie wynikalo powiedziala m mu to ale to nic nie zmienilo byla to moje pierwsza wizyta u tego lekarza na pozegnanie powiedzial mi ze moje leczenie u niego sie skonczylo odpowiedziala m ze przeciez nawet sie nie zaczelo ;1
