;text;target
0;pobyt w osrodku hymny wykupili my korzystajac z tygodniowej oferty grouping juz na wejsciu w karcie pobytu wielkimi literami wypisano nam group jakby mialo to miec jakiekolwiek znaczenie otoz okazalo sie ze ma oczywiscie dla obslugi hotelu pokoj z widokiem na giewont w rzeczywistosci okazal sie pokojem z bliskim kontaktem budowanego parkingu zalanego woda nie bylo widac nic poza betonem do samego pokoju zastrzezen nie mam lazienka czysta zadbana nowa jedynie polecila by m kierownictwu osrodka wymiane telewizora ktory strasznie piszczal i pilota do niego ktory szczerze mowiac ledwo dzialal basen jest dostepny ale jedynie w godzinach od do jadac w gory o tej porze raczej jest sie na szlaku no i te posilki podczas nadan odbywal sie oburzajacy podzial wczasowicze ktorzy mieli wykupiony pobyt w tym osrodku poza grouponem jadali w osobnej sali z wielkim bufetem roznymi rodzajami napoi i potraw sniadaniowych za to my otrzymywali my porcje rownosciowa tj plasterki szynki plasterki pomidora badz ogorka pol jajka na twardo lub troszke jajecznicy w zaleznosci od dnia obiady ok zupa i drugie danie kolacja rowniez w porzadku ale niestety widoczny podzial byl bardzo panujacy na recepcji w wiekszosci obsluga z olewajacy podejsciem jedynie byly dwie panie blondynki mile i pomocne powrot w nocy do osrodka wiazal sie z nieprzyjemnym spotkaniem z pewnym starszym panem ktory wyrazal wielkie oburzenie faktem ze musi podniesc sie z fotela i otworzyc nam drzwi jednym slowem porazka jesli to mial byc sposob na wypromowanie osrodka hymny i przyciagniecie wiekszej ilosci gosci z takiego zalozenia raczej powinno sie wychodzic to niestety polegli na calej lini najprzyjemniejsze osoby w calym osrodku to panie sprzatajace;1
1;przyjemny rodzinny hotel z bardzo dobra kuchnia i przemila obsluga bardzo dogodne polozenie blisko stokow narciarskich tonalne pokoje czyste i przestronne na pochwale zasluguje jedzenie jedno z najlepszych jakie jadlem we wloszech kolacja sylwestrowa przygotowana w sposob perfekcyjny godny polecenia;2
2;hotel okazal sie ogromnym zawodem polozenie w dzielnicy eur z dala od stacji metra nie zapewnia wygodnego dojazdu do centrum miasta obsluga hotelu chyba sie jeszcze uczy i nie zawsze potrafi odpowiednio zachowac sie w stosunku do gosci korytarze hotelowe maja poobijane sciany drzwi pokoju w ktorym mieszkali my mialy odbite brudne rece przez caly nasz pobyt i nikt sie tym nie przejal pokoje male nasza czteroosobowa rodzina dostala pokoj o powierzchni ok m postawiono tam dwa podwojne nozka takze dzieci musialy spac razem w wozku stojacym cm od naszego zapewniano nas ze pokoj jaki otrzymujemy jest cichy tymczasem otwarcie okna uniemozliwialo sen w lazience urwane drzwi prysznica reperowano po dwoch dniach naszego pobytu sniadania proste ale wystarczajace bez polotu z cala pewnoscia nie zamierzamy tam wrocic;1
3;hotel radny ale wykazuje postawy nieprzyjazne dla dzieci panuje rezim donosicielstwo i terror psychiczny za wyniesienie kanapki i jajek dla dzieci na wyjazd na plaze na kolacji dzieci nie mogly miec swoich malych sokow i musialy popijac poza jadalnia jak zwierzeta obsluga nie potrafi podac przyczyny odmowy i nie ma zadnego regulaminu gdzie to jest napisane pani manager hotelu i rezydent itaka stosuja szantaz o wymeldowaniu i nie dba o klienta woda do kolacji kelner podaje owoce z podlogi brak owocow morza jedzenie skromne jak na hotel tej klasy goscie glownie z rumunii bulgarii serbii;1
4;podczas snu do pokoju wchodzi pracownik ochrony i szuka koldry jest godzina makabra brak slow budzi dzieci ktore teraz nie moga zasnac juz nigdy moja noga tam nie postanie pozatym duchota w pokoju nie idzie spac;1
5;na mld usd szacuje maczne wplywy hoteli w usa w roku z doplat i oplat dodatkowych bjorn hanson z risch center for hospitality tourism and sports management new york university szczegolnie w okresie po kryzysie hotele staly sie aktywne we wprowadzaniu nowych oplat czyli zrodel przychodow nic w tym dziwnego bo zdaniem profesora hansona oplaty i doplaty sa szczegolnie oplacalne a wiekszosc z nich osiaga rentownosc do lub nawet wiecej procent oplaty i doplaty pojawily sie praktyce branzy w r i z roku na rok przybywa ich a przychody hoteli z tego tytulu stale wzrastaja wyjatkiem sa okresy malejacego popytu na noclegi czyli lata i;0
6;spory kompleks hotelowy kilometrow od baltyku i slupska na miejscu sporo atrakcji basen i kompleks saun spa fitness room niezle wyposazony stawy rybne z mozliwoscia zlowienia ryb odplatnie zoo zaskakujaco duze zadbane z mozliwoscia wycieczki stateczkiem oraz z fokarium parking za darmo jedzenie w ramach pobytu ok do dyspozycji gosci kregielnia i pub pokoje przestronne czyste obsluga sympatyczna wokol hotelu kilometry cielek do spacerowania biegania jazdy rowerem polecam pokoje z widokiem na jeziorka na terenie kompleksu zlokalizowany jest amfiteatr raz w roku odbywa sie w nim festiwal gwiazd rocka w przyszlym roku planuje jechac;3
7;hotel maly butikow polozony tuz przy kazimierzu pokoje urzadzone kazdy w innym stylu ja spala m w muzycznym nowoczesnie i stylowo lazienki nowoczesne sniadania dobre ale nie zachwycajace jak na polecane przez michelin chocby brak dobrego chleba jedynym minusem jest halas ktory moze dobiegac z korytarza;3
8;beznadziejna obsluga hotelowa sniadanie jak w przecietnym hotelu koszt pobytu absolutnie za wysoki sauny ok ale nic poza tym panie pracujace w recepcji w ogole nie uprzejme informacje w internecie zupelnie inne niz w recepcji;1
9;zdecydowanie miejsce aby odpoczac i naladowac akumulatory niesamowite polozenie hotelu sprawia iz ma on swoj niepowtarzalny klimat w pokoju sejf minibar sprzet do prasowania telewizor lcd lazienka z prysznicem suszarka do wlosow bardzo dobra baza spa basen rekreacyjny baseny mineralne sauny kaznia parowa jacuzzi masaze i wiele innych atrakcji pobyt w okresie ferii atrakcje dla dzieci z animatorami dla doroslych ognisko z pieczeniem kielbasek i winem grzanym wysmienite wyzywienie wybor dan mysle dla najbardziej wymagajacych kazdy na pewno mogl znalezc cos dla siebie specjalne dania dla najmlodszych bardzo by m chcial tu powrocic w okresie wiosennym lub letnim gdyz na pewno walory estetyczne polozenia hotelu byly by na pewno jeszcze wieksze;2
10;wybrala m hotel na przedluzony weekend jesienny z mama i z corka dwa punkty zostawiam za dwa elementy po pierwsze calkiem przyzwoita kuchnia mam tu na mysli dania bo obsluga byla taka jakby znalazla sie tam z przypadku paniom kelnerkom polecam kurs kelnerski drugi punkt za sale zabaw i animatora ktory wykonywal swoja prace z ogromna pasja i wymyslal super zabawy dla dzieci pokoje sa malenkie wyposazenie panienek jest bardzo stare sluchawka od prysznica widziala chyba lata siedemdziesiate sciany w pokojach sa tak cieniutkie ze biesiadujac z pokoju obok uniemozliwili nam sen a to dosc istotna informacja bo hotel ma szeroka oferte dla wyjazdow integracyjnych ponadto niestety w hotelu bylo dosc brudno w efekcie zostaly my tylko jedna noc;3
11;podrozowal em do zamoscia razem ze swoim partnerem zameldowali my sie w hotelu dokladnie dnia stycznia w godzinach popoludniowych sam pracuje w hotelu i wiem jak bardzo wazne jest pierwsze wrazenie ci nas przywitalo kiedy moj partner podal swoje nazwisko recepcjonistka przebiegla po nas wzrokiem i powiedziala ale przeciez w tym pokoju jest slowko malzenskie z tak olbrzymim brakiem profesjonalizmu jeszcze nigdy sie nie spotkal em tylko ze wzgledu na mojego partnera zachowal em spokoj i nie nauczyl em manier tejze recepcjonistki ktora z calym szacunkiem dla zarzadu nigdy nie powinna byla usiasc za tym biurkiem ta wlasnie chwila sprawila ze moj partner nie mogl sie cieszyc wyjazdem tak jakby m tego chcial nie sadzil em pe w tak dobrze renomowanym hotelu jak mercure hotel mozna zetknac sie z takim brakiem taktu zdecydowanie nigdy tam nie wroce;1
12;hotel o klimacie dosc industrialnym uniwersalny dobry na wizyty biznesowe jak i dla turystow nie szukajacych indywidualnej atmosfery wnetrza zdecydowanie atrakcja jest polozenie przy rzecze z dobrze utrzymanym tarasem deptakiem zielenia w otoczeniu zadbanych biurowcow i kamienic czyste jasne i dosc przestronne pokoje z duzymi oknami dobre sniadania bufetowe w sali restauracyjnej i na tarasie zewnetrznym dosc urozmaicone m in samodzielnie wyciskanymi sokami owocowymi lososiem serami wypiekami i smaczna kawa blisko jest park ktorym mozna pospacerowac do centrum miasta choc odleglosc jest spora w okolicy stacje kolejki miejskiej poza najblizszym otoczeniem hotelu sama dzielnica dosc ruchliwa i troche zaniedbana;2
13;hotel polecalo mi dwoch znajomych na podstawie wizyty w hotelu manor kilka lat temu niestety obecnie hotel prezentuje odstraszajacy poziom bylismy na dlugi weekend majowy hotel ma zwyczaj pobierania oplat za caly pobyt oplaty z gory jakby to co mamy zobaczyc w pokoju mialo nas odstraszyc od dalszego pobytu pokoj byl ciemny i wymagajacy wietrzenia wietrzenie utrudnial fakt ze drzwi balkonowe na taras wspolny dla kilkunastu innych pokoi nie daje sie uchylic w pionie kiedys byla taka mozliwosc ale co najmniej kilkunastoletnia stolarka okienna juz jest mocno wyeskpoaltowana zostawienie calkowicie otwartego balkonu wydalo mi sie zbyt ryzykowne po drodze do balkonu glowa zebral em pajeczyne na obiad kolacje bardzo maly wybor rodzaj miesa rodzaj ryby ziemniaki puree jedna surowka i koniec w stolowkach biurowcow jest wieksza roznorodnosc ale trzeba przyznac ze jedzenie bylo przyzwoite niestety w przypadku siada serwowanych teoretycznie do juz o zaczynalo wszystkiego od jedzenia zaczynajac na naczyniach do napojow konczac obsluga nastawiona raczej na konfrontacje z goscmi niz na pomoc im obrazu dopelnia fakt ze rano w lazience ktorej czystosc pozostawia wiele do uzyczenia brakowalo cieplej wody azeby wziac prysznic ja sie juz wiecej do hotelu manor nie wybieram i innym odradzam;1
14;pobyt rodzinny hotel polozony w doskonalej lokalizacji i to jest jego jedyna zaleta pokoje de lux male skromne z temperatura szklarniowa wywolana przeszkoleniem czesciowym dachu roleta zaslaniajaca samoczynnie sie otwiera jedzenie monotonne bez finezji i akcentu sezonowosci ryby mrozone z makro typu pana czy atlantycka o nieznanej nazwie jedzenie w zasadzie barowe sniadania kazdego dnia w tej samej odslonie menu zadziwia poniewaz bar tarasowy oferuje zupelnie inne propozycje ciekawe i smaczne jakby pochodzily z innej kuchni pokoje wieksze w czesci c jednak budynek znacznie oddalony od glownej czesci mieszczacej baseny spa i restauracje brak parkingu przy hotelu nawet jest klopot z postojem w celu zakwaterowania obsluga nie wykazuje zainteresowania pomoca mamy wybor wjazdu na chodnik i ewentualny mandat lub zakuwanie z bagazami kilkaset metrow parkingu blizszego kilometr parkingu dalszego ceny obu rowne zl za tydzien doliczajac klimatyczne placimy zl dodatkowo do pobytu dni dla dzieci basen wewnetrzny maly ale przyjemny zewnetrzny z zimna woda ale placem zabaw i lezakami co jakis czas przejezdzajacy pociag za plotem przy hotelu zamek i zjezdzalnie dmuchawce w cenie pobytu swietny pomysl majacy duze powodzenie wsrod dzieciakow ogolnie hotel wymaga lepszej reki zarzadcy w celu wzruszenia obslugi hotelowej zmiany standardu oraz lekkiego liftingu np brudnych cian w restauracji mile i uczynne profesjonalne panie w sali zabaw i spa dodatkowo nalezy pamietac aby miec posprzatany pokoj nalezy sie solidnie upomniec;3
15;po raz kolejny zapewne bede sie powtarzal ale moge sobie pozwolic na wybor i realizacje wlasnych upodoban bliskich historii przeszlosci tak ze w sytuacjach gdy w podrozy jest miejsce po drodze mojej trasy przypominajace zamek przeszlosc to wlasnie tam wskazuje miejsce pobytu nie inaczej bylo z wyborem hotelu palacyk nic do zarzucenia oczekiwania w pelni spelnione zostaly pozdrowienia dla wlascicieli i obslugi polecam;2
16;gdyby m nie mial wsparcia rodziny to nie wiem jakby to wszystko wygladalo przeprowadzili my sie tu z krakowa we czworo a wkrotce bedzie nas pewnie piecioro moja zona marzanna piekne i rzadkie ostatnio imie idealnie odpowiadajace panowaniu we dworze dziekuje w imieniu tony ktorej pomyslem jest spa i instytut kosmetyczny ona cala te czesc naszej dzialalnosci zorganizowala i prowadzi syn jakub absolwent studiow z dziedziny zarzadzania i marketingu jest szefem gastronomii mikolaj ktory zarzadza czescia hotelowa ma za soba studia z finansow i zarzadzania trzeci piotr pomaga nam zdalnie z krakowa gdzie jeszcze studiuje na uniwersytecie ekonomicznym finanse i rachunkowosc oraz prawo zaocznie na uniwersytecie jagiellonskim ma na komborni spojrzenie z dystansem bo inaczej widzi sie od osrodka a inaczej z zewnatrz;0
17;na przelomie listopada i grudnia franczyzowa siec obiektow noclegowych i gastronomicznych comfortexpress uruchomi dwa hotele zlokalizowane w pruszkowie i swiebodzinie stojacy w pruszkowie przy ulicy boleslawa prusa trzygwiazdkowy posiadajacy pokoi wybudowany w roku hotel bedzie funkcjonowal pod marka comfortbiznes starszy o rok dwugwiazdkowy hotel w swiebodzinie dysponuje pokojami i bedzie dzialal pod marka comfortexpress oba obiekty sa wlasnoscia spolki investor sp z o o nalezacej poprzez spolke akcyjna tobago do skarbu panstwa;0
18;dostala m pokoj z brudnymi i porysowanym zmianami w telewizorze moze ze trzy polskie kanaly i atrakcja dodatkowa snieg tak slaby odbior ze tylko widac bylo kropki na ekranie listwa przypodlogowe obdarta z farby w lazience na suficie zacieki przy podlodze bable od wilgoci drzwi od kabiny nie domykaly sie przy umywalce tak krotka wylewka od baterii ze przy kazdym uzyciu zalewala caly blat woda brak szamponu balsamu do ciala i odzywki do wlosow co w innych hotelach gwiazdkowych jest standardem sciany na korytarzach porysowane i obdarte z farby brak windy technicznej obsluga jezdzi tymi samymi windami co goscie najlepsze byly szlafroki meza szlafrok w rozmiarze xl siegal mu nad kolana a rekawy ledwo zakrywaly goscie wstyd bylo w nim isc na basen woda na basenie zimna jacuzzi popsute w czesci osrodkowej gdzie woda odplywa brak nakladki zabezpieczajacej co spowodowalo ze wciagnelo mi bolesnie stope i zdarlo skore sauny mokre zimne w saunie suchej rozkrzyczane towarzystwo z izraela obiadokolacja fatalna wszystko bez smaku rosol to tlusta zawiesina bez soli pieprzu pietruszki marchewki maz poprosil o maggi kelnerka odpowiedziala ze absolutnie nie przyniesie knedle bez smaku ryba z temara sucha do popicia tylko woda i herbata radnych sokow zostawila m w lazience prostownice do wlosow po kilku dniach zadzwonila m do hotelu z pytaniem czy mogli by mi ja odeslac niestety dostala nog ktos sobie przywlaszczyl nenada daleko do centrum zakopanego okolo km wyciagi narciarskie przy hotelu to typowe osle raczki dla dzieci wiecej nie zamierzam sie meczyc w takim luksusie za zl za dobe absolutnie nie polecam jedyna osloda tego wieczoru byl wystep zespolu dzem bilety oczywiscie dodatkowo platne zl os dla gosci hotelowych opinie na bowlingu o hotelu sa fantastyczne hotel wybiera te pozytywne i je prezentuje na stronie do wiadomosci klientow negatywne usuwa wiec potencjalny klient szukajac hotelu nie ma rzetelnego obrazu o tym miejscu;1
19;kiedys hotel bardzo przyzwoity z pysznym nadaniem teraz poziom znacznie sie obnizyl posilki w restauracji okropne a kucharz jest chyba maniakalnym fanem szpinaku ktory jest w wiekszosci dan sniadania niestety zostaly znacznie okrojone a smak dan zostawia wiele do uzyczenie pokoje przyzwoite jedynym mocnym punktem jest obsluga recepcji;3
20;byla m w tym hoteli kilka razy w przeciagu ostatnich lat i moge go polecic pokoje i lazienki czyste nozka wygodne choc materace mogly by byc troszke twardsze w pokoju jest zestaw kawowy herbaciany jest problem z wi fi nie zawsze dziala sniadania bardzo dobre szeroki wybor wieze produkty niektore nietypowe jak na polskie hotele poza tym kuchnia restauracja serwuje rowniez bardzo dobre obiady i kolacje przy hotelu znajduje sie duzy parking platny wiec nie ma problemu z parkowaniem auta poza tym hotel dysponuje bardzo padna sala konferencyjna i serwuje niezly catering generalnie polecam;2
