;text;target
0;szukal em sluchawek dluzszy czas ciagle podnoszac polke cenowa zatrzymal em sie na tych sluchawkach poniewaz byly dla mnie nieslychanie wygodne i dzwiek spelnial moje oczekiwania niestety pierwszy znak zapytania pojawil mi sie w jednym ze sklepow gdzie na odsluchu jedna sluchawka grala ciszej od drugiej stwierdzil em ze jest to pojedynczy przypadek zawsze moze jakis egzemplarz sie popsuc nie zrazilo mnie to do zakupu niestety to byl blad nowe sluchawki nie zdazyly zostac nawet raz rozladowane do konca a wystapila taka sama wada jaka opisal em wczesniej jedna sluchawka gra ciszej od drugiej niezaleznie od tego czy slucham bezprzewodowo czy za pomoca kabla efekt ten sam na wszystkich dostepnych urzadzeniach jakie mialem pojechal em do sklepu zgodzili sie wymienic od reki na nowe zadowolony stwierdzil em ze statystycznie to juz sie nie powinno powtorzyc niestety znowu to samo nie minelo nawet dni a sluchawki ulegly identycznemu uszkodzeniu dla mnie jbl stracil na jakosci a powyzsze sluchawki sa po prostu drogim bublem ;1
1;mozna polecic tylko tym ktorzy walory wizualne przedkladaja nad koszty zwiazane nie tylko z samym zakupem ale i pozniejszymi naprawami najprawdopodobniej wadliwa konstrukcja wbudowanego termostatu powoduje ze psuje sie bardzo czesto niestety ze wzgledu na specyficzny montaz mozna sie do niego dostac wylacznie przy pomocy klucza serwisowego w zwiazku z tym proba naprawy we wlasnym zakresie staje sie bardzo uciazliwa po latach uzytkowania samoistnie w nocy urwala sie deszczownica zlamal sie jakis element plastikowy nie ma mozliwosci naprawy trzeba kupic cala deszczownice koszt ok zl na allegro nie polecam ;1
2;kupila m i wlaczyla m ze razy moim zdaniem firma robi kase na naszej naiwnosci w tv non stop trabia o smierci lozeczkowej a my silnie wystraszone lecimy i kupujemy byc moze sie przydaje dla wczesniakow i dzieci z wadami ale nie dla zdrowego rozowego bobasa a najbardziej drazliwe bylo dla mnie to ze jak w nocy dziecko podnioslo sie z lozeczka to monitor wyczuwal brak ruchu i darl sie przerazliwym alarmem i nie wiadomo bylo co robic czy dziecko z placzu uspokajac czy urzadzenie szybko rozlaczac wedlug mnie przereklamowana lipa ;1
3;obudowa nie jest bez wad warta swojej ceny potrzebowal em w miare niska obudowe z przyciskami z przodu zasilaczem na dole miejscem na przewody za plyta glowna oraz beznarzedziowym montazem i to wszystko jest spelnione troche mi drgala wiec dociazyl em ja matami bitumicznymi jakims cudem zmiescil em do niem raijiancec tisis troche ciezko bylo podlaczyc zasilanie wiatraczkow z powodu braku miejsca pomiedzy chlodzeniem a gorna sciana na wiatraki musialem przykleic kawalek filcu poniewaz dotykaja sciany i drgania sie przenosily temperatury i s pod obciazeniem oscyluja okolo stopni wiec dosc cieplo jak na takie wypasione chlodzenie ;3
4;pomysl bardzo dobry lecz jakosc wykonania pozostawia duzo do zyczenia po dwoch miesiacach uzytkowania z moim jack russellem ktory dodatkowo zapiety jest w swoje pasy zaczely sie pruc lamowki w ktorych sa umieszczone metalowe druty moj pupil lubi sie opierac o bok i ogladac omijajacy go za szyba swiat druty powyginaly sie zaczely wychodzic pionowo w gore oraz w kierunku foteli z poprutych lamowek wszelkie szycia w stylu pijanego mistrza suwaki plastikowe bardzo slabej jakosci material wyscielajacy polar w lapki lubi trzymac siersc ktorej nie sposob wyczyscic chyba ze poswieci sie caly dzien na wyskubanie kazdego wloska z kolei gdyby kojec mial pelne sztywne boki byl by znacznie lepszy w obecnym czasie kojec ma rok a wyglada jak by mial juz ich slabo ;1
5;ja byl em za vacumaidem a zona chciala bima ale jakos kupili smy tego vacumaida bo instalator dal nam dobra cene niestety w garazu zajmuje bardzo duzo miejsca i jest strasznie glosny instalator powiedzial ze tak wlasnie jest przy jednostkach typu split za to bardzo dobrze zaciagac ma brud ale tutaj tez bylo kiepsko tydzien czasu zastanawiali smy sie co tu zrobic az w koncu wymyslili smy ze wymienimy ten odkurzacz u instalatora na jakiegos bima i tak zrobili smy niestety okazalo sie ze zona miala racje bim lepszy ;1
6;zamowila m scianke prysznicowa tygodni temu po rozpakowaniu okazalo sie ze przyslali zly model bez dodatkowej szyby ruchomej podobna nazwa ta sama firma moglo sie pomylic od razu zadzwonila m umowili smy sie ze przysla prawidlowa i odesle wtedy bledna po tygodniach czekania zrezygnowala m od firmy kurierskiej dowiedziala m sie ze blednie nadali paczke do kogos innego zlecili jej odbior i maja nadac do mnie ale juz zrezygnowala m i zamontowala m to co przyszlo dopoki jeszcze miala m ekipe remontowa czas wysylki niezgodny z opisem na stronie wysylka szybka h towar ten niewlasciwy wyslali po dniach u mnie byl po tygodniu opinie zmieniam z negatywnej na neutralna bo przeprosili i poprosili o usuniecie negatywa dostala m zwrot roznicy ceny scianek i w ramach przeprosin wyslali mi drobny upominek nieprzydatny dla mnie wodoodporny glosniczek z przyssawka pod prysznic ale przynajmniej sie postarali aczkolwiek rodzi to pytanie ile osob usuwa negatywy za gadzety ;3
7;zakupilismy te mate dla naszych blizniaczkow jak mieli ok miesiecy owszem mata wykonana ladnie zabawki fajne ale mimo ze jest w miare duza to za mala dla dwojki dzieci w poduszcze do lezenia w miare szybko zrobila sie dziurka trudna do zaklejenia cena jest duzo za wysoka jak na taki produkt ok zl dzieci byly zainteresowane przez pare miesiecy a potem mate sprzedali smy nie ma to jednak jak zabawa garnkami pokrywkami petami i innymi bezpiecznymi przedmiotami domowego uzytku ;3
8;wczoraj kupil em kamerke c wg mojej oceny jest to kamerka tylko do laptopa osobistego ze wzgledu na bardzo krotki kabel zasilajacy do komputera stacjonarnego jezeli nie mamy go pod monitorem trzeba kupic przedluzacz montaz tej kamerki na monitorze graniczy z cudem bo uchwyt ktory posiada jest tak zaprojektowany ze nie nadaje sie do niczego aby ja stabilnie zamontowac zamowil em rzepy do podklejenia bo inaczej jest nie stabilna i co chwila trzeba ja poprawiac bo sie sama obraca razem z mocowaniem program do obslugi kamerki zciagnalem z internetu brak cd ale przy rozpakowywaniu dwukrotnie sie zawiesil takze dal em spokoj i czekam na kolege specjaliste komputerowca moze on cos potrafi z tym zrobic jak na poczatek to chyba za duzo problemow ;1
9;to moj drugi nawilzacz wczesniejsza triada niestety sie zatarla nawilzacz dziala niezwykle skutecznie radzi sobie z dosc duzym pokojem nie jest zbyt glosny najcichszy jest wtedy kiedy pracuje na najwiekszych obrotach przy innych ustawieniach slychac lekkie buczenie na pewno ladnie sie prezentuje np na parapecie i tu duzy plus za design bardzo praktyczny jest duzy zbiornik na wode timer i regulacja stopnia nawilzania wyswietlacz niestety zaklamuje wynik bo czujnik musi byc umieszczony niedaleko wylotu pary mogl by m napisac ze jest to nawilzacz idealny mogl by m ale wydostajaca sie para zostawia slady na podlodze mgielka a na najwyzszych obrotach wrecz tworzy sie kaluza reasumujac ostatnia wada jak dla mnie dyskwalifikuje ten nawilzacz do dzialania w sypialni chyba ze macie panstwo tam kafelki wtedy jednak latwo sie poslizgnac ;3
