;text;target
0;pp to dosc trudny i czasochonny przedmiot nie mowic juz o zrozumiec temat;1
1;nie pisze o sposoba zaliczanie bo o to juz byc;3
2;opinie na podstawa kursui ii na wydzial is sposob prowadzic zajecie chaotyczny czy potrafic nauczyc;1
3;niektory udawac sie dziek ten system nie byc jakis raz bez konsekwencja d z to co pamietac ten maksymalc moze byc miec nieobecnosc;3
4;osadnikiem czelektroniczny kolokwium osobny ocena z oba czesci ale wspolny byc zaliczec forma test slajdya na ekran a my zaznaczac jedyny a b c lub a i b lub nawet zadny wiec trzeba uwazac slajdy dawac staroscie jezel sie upomnic wyklad na on podstawa omawiac on wiec dobrze robic porzadny notatka mowy spokojnie powoli i zrozumial jezec ktos czegos nie rozumiec mozny spokojnie poprosic o powtorzec wyrozumialy;3
5;na kazdy zajecia obowiazkowo wejsciowka nie liczc ze zapomny;1
6;mozna jednak isc do inny potok badz kierunek ktore miec z on zajecia i wziac od on pytanie;2
7;miernictwo cw majcher nigdy nie robic kartkowka z material ktor wczesni dokladn nie omowil;2
8;ogolnie to na ten kolo byc kilka temat do wybor dokladnie taki jak byc na zajecia;2
9;prowadzic wszystko skrupulatnie wytlumaczyc jak sam mowic;2
10;zdawalnosc na kolokwia siegac procent;2
11;po niektory strasznie Jezdzil zwlaszczac na poczatek i to bylo strasznie niefajny zniechecil niektory czlowiek no i poprost szkoda;1
12;kolokwiac normalny ale trzeba porobic troche zadanek;3
13;ogolnie to bardzo przyjemny zajecia a pan mlynarz zawsze wytlumaczyc jesli cos sie nie rozumiec;2
14;trzac byc cicho usmiechac sie;3
15;bardzo przydatny byc zglaszac sie na cwiczenia mozna zdobyc par bonusowy punkt;2
16;na poczatek umawiac sie z grupa jak miec rozdysponowac dodatkowy punkt;3
17;tak nietypow czlowieka to jeszcze w ten szkola nie spotkal;3
18;zaliczec do latwy nie naleza;1
19;przyklad byc malo nie byc rozwiazywac do koniec;1
20;zeby zdac trzeba byc geniusz;1
21;kurs tak zwany magnes cw i w poprawka na poczatek wydac sie mily;2
22;human do odbebniec;3
23;fizykac cwiczenie polecac b doktor;2
24;podczas wyglaszania referat wydawac sie ze wcale nie sluchac ale on wszystko slyszec i czepiac sie szczegulow;1
25;czlowiek sympatyczny i co z to;3
26;gdyby nie fakt ze byc to algebry abstrakcyjny to wszyscy by zdac ten kurs ale jesli sie choc troche starac to nie byc miec a zaden problem wyklad byc dosc nudny w semestr wiadomo kolo na cwiczenia mozna zarobic dodatkowy punkt;3
27;laborka odbywac sie w przyjemc atmosfera nikt nie miec najmniejszych problem z zaliczeen;2
28;moj zdanie pani surma w dosc jasny sposob przedstawiac swoj wymaganie co do zaliczec cwiczen;2
29;mimo iz nie robic zbyt czesto kartkowko pytac na biezaco;3
30;sprawozdanie mozana oddawac kilka raz i do konca semestr;2
31;podstawa elektrotechnik lab na poczatek byc wejsciowka do puka nie wypadac pozytywnie;3
32;ale z ocenianie to byc strasznie miec sie zadanie albo nie czyli skala pkta u ten pan to lub na to trzeba miec wszystko idealnie mrgreen;1
33;polecac on wszyscy chyba jeden z dobry na polibuda;2
34;to prawda ze na pierwszy zajecie rzucac tekst wykl a;3
35;po kilka kolejny przyczepiac sie do drobnostka tabelka i tym podobne;1
36;u doktor mozna sie bardzo duzo nauczyc owsz byc wymagajacy ale jak miec sie z cos problem to warto pojsc na konsultacja albo na zajecia zapytac doktor zawsze pomoc;3
37;jednak jesli ktos chciec odbyc bezstresowy kurs to jak bardzo;2
38;przy to robic zadanie ciagle sie mylic;1
39;trochy wysilek i mozna spokojnie wyciagnac na koniec hmmm to ja wprowadze wy w pewien arkana egzamow u pani j otoz zdaza sie dosyc czesto z zestaw szczegolnie ten rat n;2
40;atmosfera bardzo dobry prowadzic nie wychodzic nigdzie w czas zajecia tylko caly czas sedziowac powiedziec nawet jaki skutecznosc rzut wolny miec druzyna od czas do czas opieprza ktos za egoistyczny gra i bardzo dobrze;2
41;byc otwarty na wszelki glos z sala Jesli sa zgodny z on poglad;3
42;ocena byc za obecnosc;3
43;fizykac i b mial z on fizyke i z zaliczeen raczej nie miec problem bynajmniej na drugi termin bo na pierwszy zaliczac okolo;3
44;pani docent lubic troszke wazelina;1
45;obecnosc na zajecia sprawdzac czas przecietnie co zajecie;0
46;pierwszy kurs jezykowy i pozytywny zaskoczenie pani naprawde znac sie na to co robic i miec odpowiedni podejscie do student;2
47;wyk cw zarowno wyklad jak i cwiczenie prowadzic bardzo starannie i precyzyjc;2
48;brac do tablica i stawiac pulsy i minus jezeli ktos wziac i ten ktos nie zrobic zadanie;3
49;co do osobowosc to nie dawac rada;1
50;fakt byc wymagajacy ale Jesli tylko ktos zadac on sensowny pytanie otrzymac jeszcze sensowniejsz odpowiedz;3
51;system punktowy polegac na to ze pierwszy dostawac bdb i nie musiec isc na ostatni zajecia reszta tez bdb no chyba ze ktos opuszczac;2
52;jankowski potrafic byc calkiem sympatyczny i dowcipna;2
53;wraz z wzrost poziom trudnosc zadanie na kolejny lista dr lis robil sie coraz bardzo;1
54;dobrze jak juza cosc sie umiec z pascalac bo na ten zajecia nie dac sie naczyc nic a wiedza ktory sie posiadac przydac sie do zaliczec bo na koniec byc kolo czas robic dwa;1
55;zgadzac sie;0
56;ogolc calk spoko;2
57;niektory sie nie podobac ze nazywac student z maly dorobek punktowy prowadzic statystyka wygrany mecz plankton punktowy ze potrafic nazwac ktos idiota ale dzieki to byc jako taki dyscyplina na zajecia;3
58;na dodatek czesto sie mylic rozwiazujac zadanie;1
59;pani wszystko co trzeba zrobic wypisowac na tablica i pokazywac;2
60;wyklad w miara ciekawy choc zaden rewelacja;3
61;pan s duzo z ten wyklad wyniosl em i powiedziec szczerze ze niektory wskazowka przez on udzielic sie przydac w zycie;2
62;wyklad czesto na zupelc inny temat ale moze przez to ciekawszy;3
