;text;target
0;pp to dosc trudny i czasochonny przedmiot nie mowiac juz o zrozumieniu tematu ;1
1;nie pisze o sposobach zaliczania bo o tym juz bylo ;3
2;opinia na podstawie kursui ii na wydziale is sposob prowadzenia zajec chaotyczny czy potrafi nauczyc ;1
3;niektorym udawalo sie dzieki temu systemowi nie byc jakies razy bez konsekwencji d z tego co pamietam to maksymalnie moza bylo miec nieobecnosci ;3
4;osadnikiem czelektroniczna kolokwium osobne oceny z obu czesci ale wspolna jest zaliczeniem forma testu slajdy na ekranie a my zaznaczamy jedyne a b c lub a i b lub nawet zadne wiec trzeba uwazac slajdy daje staroscie jezeli sie upomni wyklad na ich podstawie omawia je wiec lepiej robic porzadne notatki mowi spokojnie powoli i zrozumiale jezeli ktos czegos nie rozumie mozna spokojnie poprosic o powtorzenie wyrozumialy ;3
5;na kazdych zajeciach obowiazkowo wejsciowka nie liczcie ze zapomni ;1
6;mozna jednak isc do innego potoku badz kierunku ktore maja z nim zajecia i wziac od nich pytania ;2
7;miernictwo cw majcher nigdy nie robi kartkowki z materialu ktorego wczesniej dokladnie nie omowil ;2
8;ogolnie to na tych kolach jest kilka tematow do wyboru dokladnie takich jak byly na zajeciach ;2
9;prowadzacy wszystko skrupulatnie wytlumaczy jak sam mowi ;2
10;zdawalnosc na kolokwiach siega procent ;2
11;po niektorych strasznie jezdzil zwlaszcza na poczatku i to bylo strasznie niefajne zniechecil niektorych ludzi no i poprostu szkoda ;1
12;kolokwia normalne ale trzeba porobic troche zadanek ;3
13;ogolnie to bardzo przyjemne zajecia a pan mlynarz zawsze wytlumaczy jesli czegos sie nie rozumie ;2
14;trza byc cicho usmiechac sie ;3
15;bardzo przydatne jest zglaszanie sie na cwiczeniach mozna zdobyc pare bonusowych pkt ;2
16;na poczatku umawia sie z grupa jak ma rozdysponowac dodatkowe pkt ;3
17;tak nietypowego czlowiek to jeszcze w tej szkole nie spotkalem ;3
18;zaliczenia do latwych nie naleza ;1
19;przykladow jest malo nie sa rozwiazywane do konca ;1
20;zeby zdac trzeba byc geniuszem ;1
21;kurs tzw magnesy cw i w poprawka na poczatku wydal sie mily ;2
22;human do odbebnienia ;3
23;fizyka cwiczenia polecam b dr ;2
24;podczas wyglaszania referatow wydaje sie ze wcale nie slucha ale on wszystko slyszy i czepia sie szczegulow ;1
25;czlowiek sympatyczny i co z tego ;3
26;gdyby nie fakt ze jest to algebra abstrakcyjna to wszyscy by zdali ten kurs ale jesli sie choc troche starasz to nie bedziesz mial a zadnych problemow wyklady sa dosc nudne w semestrze wiadomo kola na cwiczeniach mozna zarobic dodatkowe punkty ;3
27;laborki odbywaly sie w przyjemnej atmosferze nikt nie mial najmniejszych problemow z zaliczeniem ;2
28;moim zdaniem pani surma w dosc jasny sposob przedstawia swoje wymagania co do zaliczenia cwiczen ;2
29;mimo iz nie robi zbyt czesto kartkowek pyta na biezaco ;3
30;sprawozdania mozan oddawac kilka razy i do konca semestru ;2
31;podstawy elektrotechniki lab na poczatku byly wejsciowki do puki nie wypadaly pozytywnie ;3
