;text;target
0;miec em kosz z pan gryszko i szukszto jednak ten byc dobry niektory sie nie podobac ze nazywac student z maly dorobek punktowy prowadzic statystyka wygrany mecz plankton punktowy ze potrafic nazwac ktos idiota ale dzieki to byc jako taki dyscyplina na zajecia jesli chodzic o zajecia to wiadomo ze do poki nie przyjsc prowadzic to kazdy sie rozgrzewac z pilka jak u kazdy co jakis czas robic maly rozgrzewke i konkurs wyscig rzed konkurs zucanie z dwutakt lewy reka a potac grac lub zespol system wybierac student ale najczesci byc tak ze grac sie do mecz i rewanz czyli kazdy grac ten mecz czas byc streetball i potem grac na caly boisko system punktowy polegac na to ze pierwszy dostawac bdb i nie musiec isc na ostatni zajecia reszta tez bdb no chyba ze ktos opuszczac na przedostatni zajecei robic test spra w;2
1;urs analiza matematyczny cwiczenie ocena numer b jesli nie chciec sie nameczyc zaliczyc to uderzaj wlasc do ten kobieta zadanie dawac prosty nie wprowadzac na zajecie atmosfera strach a dodatkowo jak widziec z grupa czegos nie rozumiec star sie powtorzyc wyklad na swoj sposob ahao koniecznie sie zglaszajcie do tablica on lubic osoba aktywny na zajecie;2
2;kurs ocena unikac wyrywac od on jak szybko wyklad niezrozumiac przepisowac skrypt linik w linike nie warto chodzic gosciu miec swoj swiat matematyczny kolo pierwszy kolo nie byc trudny chodz goscie dawac dziwny zadanie po pierwszy kolo byc juz wiedziec gdzie siedzic jak miec malo punkt to pierwszy lawka oraz grpaa smierc na dobit d sam ustalac gdzie siedzic sprawdzac przed wejscie dowod sobisty drpa jesli zabraknac ty na zaliczenie punkt to ty nie dac bo mowic ze zasada byc zasada;1
3;kurs rownanie rozniczkowy ocena polecac goraco ten pan byc niesamowity wyklad nieobowiazkowy zadanie na kolokwi banalny do sam kolo mozna sie nauczyc w h nawet krotko lista zadanie podawac wczesnie wystarczyc on siebie przyswoic potem na kolo okazywac sie ze dawac najprostsz z on i jeszcze dodatkowo co niektory upraszczac po prosty bajka na koniec sam i zapisywac sie jesli tylko sie dac;2
4;  human profesor pawlikowski byc fizyek ja miec em u on fizyczny przedniot humanistyczny nie wiedziec jak wygladac u on inny przedniot wyklad byc bardzo ciekawy przerywac swietny dowcipa anegdota i historyjka moc zmienic temat wyklad jesli Sala zaproponowac cos inny doskonaly kontakt z sluchacz on dowcipa i uwaga dosc czesto uderzac w przedstawicielka plec piekc na sala czas w konkretny osoba z punkt meskiy nie byc chamski tylko zabawny ale kobieta moc sie czas czuc cel atak zaliczenie miec jak w bank jesli oddac referat zwiazac nawet luzno z tresc ktoregos z wyklad kilka strona miec czas i wiecej b;2
5;kto marcin szxxxak mgr co fizykac cwiecznie gdzie wppt ib ocena tendencja zwyzkowy b ogolnie nie byc zly prowadzic uczyc sie dopiero aczkolwiek widac roznica w traktowanie osoba ktory miec talent a ten ktory ow nie posiadac na punkt dodatnie raczej by metr nie liczyc szybko na ujemny rozwiazywac zadanie to poprost typowanie nieszczesnik prawie sie nie odzywac prawie zawsze miec koncepcja na rozwiazac zadanie i taki sam prawie zawsze miec rozwiazanie doktor tyca polecac dla czlowiek z talent fizyczny i to ktory miec zaciac aby sie klucic;3
6;kurs algebro z geometry analityczny wyklad jak dla ja ten gosc miec swoj swiat ale to nic zawsze wygnieciyc i nie wyspac tak jak by balowac caly dno i noc dobrze tlumaczyc robic zadanie z skrypt czas palc jakies dowcip ogolic spoko koles polecac na kolo zadanie bardzo prosty poniewaz nasz wykladowca miec problem z dodawaniem ulamk dac by metr on tak;3
7;byc miec teraz s zajecia z koszykowka z ten prowadzic jak dla ja bomba obowiazkowy rozgrzewka i pomimo pare niedociagniec w on sedziowaniu na serio polecac co prawda na dobra ocene trzeba tez wykazac sie zaangazowanie no i wysoki frekwencja jednak prowdzacy na serio godny polecenie;2
8;szatkowski jan doktor fizyk h moze byc b na koniec byc tescik zagadnienie w a poczytac on wyklada to na ban zaliczc bedzie bynajmniej tak bylo w moj przypadek lubic eksperymentowac wiec rozc to bywac z ten kolosa ja sie tafilo do przejscie oglnie malo osob niezalicz h wyklada SA nudny nie trzeba chodzic;3
9;wyklad prowadzic zrozumiale jak byc na wszyscy to zaliczyc;3
