;text;target
0;mial em kosza z panem gryszko i szukszyn jednak ten byl najlepszy niektorym sie nie podoba te nazywa studentow z malym dorobkiem punktowym prowadzi statystyki wygranych meczow planktonem punktowym ze potrafi nazwac kogos idiota ale dzieki temu jest jako taka dyscyplina na zajeciach jesli chodzi o zajecia to wiadomo ze do poki nie przyjdzie prowadzacy to kazdy sie rozgrzewa z pilkami jak u kazdego co jakis czas robi mala rozgrzewke i konkursy wyscigi rzedow konkursy rzucania z dwutakt lewa reka a potam gra lub zespoly system wybieraja studenci ale najczesciej jest tak ze gra sie do mecz i rewanz czyli kazdy gra te mecze czasami jest streetball i potem gra na cale boisko system punktowy polega na tym ze pierwsza dostaje bdb i nie musi isc na ostatnie zajecia reszta tez bdb no chyba ze ktos opuszczal na przedostatnich zajeciach robi test spra w;2
1;urs analiza matematyczna cwiczenia ocena nr b jesli nie chcesz sie nameczyc zaliczyc to uderzaj wlasnie do tej kobiety zadania daje proste nie wprowadza na zajeciach atmosfery strachu a dodatkowo jak widzi ze grupa czegos nie rozumie stara sie powtorzyc wyklad na swoj sposob aha koniecznie sie zglaszajcie do tablicy ona lubi osoby aktywne na zajeciach;2
2;kurs ocena unikac wyrywaj od niego jak najszybciej wyklad niezrozumialy przepisuje skrypt linika w linie nie warto chodzic gosciu ma swoj kwiat matematyczny kola pierwsze kolo nie jest trudne chodz gosciu daje dziwne zadania po pierwszym kole bedziesz juz wiedzial gdzie siedzisz jak masz malo pkt to pierwsza dawka oraz grupa smierci na dobicie d sam ustala gdzie siedzisz sprawdza przed wejsciem dowod osobisty dra jesli zabraknie ci na zaliczenie pkt to ci nie da bo mowi ze zasady sa zasadami;1
3;kurs rownania rozniczkowe ocena polecam goraco ten pan jest niesamowity wyklady nieobowiazkowe zadania na kolokwiach banalne do samego kola mozna sie nauczyc w h nawet krocej liste zadan podaje wczesniej wystarczy je sobie przyswoic potem na kole okazuje sie ze daje najprostsze z nich i jeszcze dodatkowo co niektore upraszcza po prostu bajka na koniec same i zapisywac sie jesli tylko sie da;2
4;human prof pawlikowski jest fizykiem ja mial em u niego fizyczny przedmiot humanistyczny nie wiem jak wygladaja u niego inne przedmioty wyklad jest bardzo ciekawy przerywany kwietnymi dowcipami anegdotami i historyjkami moze zmienic temat wykladu jesli sala zaproponuje cos innego doskonaly kontakt ze sluchaczami jego dowcipy i uwagi dosc czesto uderzaja w przedstawicielki plci pieknej na sali czasem w konkretne osoby z punktu meskiego nie jest chamskie tylko zabawne ale kobieta moze sie czasem czuc celem ataku zaliczenie masz jak w banku jesli oddasz referat zwiazany nawet luzno z trescia ktoregos z wykladow kilka stron masz czasem i wiecej b;2
5;kto marcin szxxxak mgr co fizyka uwiecznia gdzie wpp ib ocena tendencja zwyzkowa b ogolnie nie jest zlym prowadzacym uczy sie dopiero aczkolwiek widac roznice w traktowaniu osob ktore maja talent a tymi ktore owego nie posiadaja na punktu dodatnie raczej by m nie liczyl szybciej na ujemne rozwiazywanie zadan to poprostu typowanie nieszczesnika prawie sie nie odzywa prawie zawsze ma koncepcje na rozwiazanie zadan i takie samo prawie zawsze ma rozwiazania doktora tyca polecam dla ludzi z talentem fizycznym i tym ktorzy maja zaciecie aby sie klucic;3
6;kurs algebra z geometra analityczna wyklad jak dla mnie ten gosc ma swoj kwiat ale to nic zawsze wygnieciony i nie wyspany tak jak by balowal cale dnie i noce dobrze tlumaczy robi zadania ze skryptu czasem palnie jakies dowcip ogoleni spoko koles polecam na kolach zadania bardzo proste poniewaz nasz wykladowca ma problemy z dodawaniem ulamkow dal by m mu tak;3
7;bede mial teraz sem zajec z koszykowki z tym prowadzacym jak dla mnie bomba obowiazkowa rozgrzewka i pomimo paru niedociagniec w jego sedziowaniu na serio polecam co prawda na dobra ocene trzeba tez wykazac sie zaangazowaniem no i wysoka frekwencja jednak prowadzacy na serio godny polecenia;2
8;szatkowski jan dr fizyka h moze byc b na koniec jest tescik zagadnienia w a poczytac jego wyklady to na ban zaliczenie bedzie bynajmniej tak bylo w moim przypadku lubi eksperymentowac wiec roznie to bywa z tymi kolosami mi sie trafilo do przejscia ogolnie malo osob niezaliczane h wyklady sa nudne nie trzeba chodzic;3
9;wyklad prowadzi zrozumiale jak jestes na wszystkich to zaliczysz;3
